Filename,Source,Type,FOV,Name
250411-14_CCPA-250411-14_20R3760-A_001_BH001_000966,Stanford,dataScaleSize,FOV1,Stanford_Slide16
250411-15_CCPA-250411-15_20R3760-B_001_BH001_000967,Stanford,dataScaleSize,FOV2,Stanford_Slide16
250411-16_CCPA-250411-16_40R4N-A_001_BH001_000976,Stanford,dataScaleSize,FOV1,Stanford_Slide21
250411-17_CCPA-250411-17_Slide21_40R4N-B_repeat_001_BH001_000979,Stanford,dataScaleSize,FOV2,Stanford_Slide21
250411-18_CCPA-250411-18_40RRT60-A_001_BH001_000982,Stanford,dataScaleSize,FOV1,Stanford_Slide22
250411-19_CCPA-250411-19_40RRT60-B_001_BH001_000983,Stanford,dataScaleSize,FOV2,Stanford_Slide22
250411-2_CCPA-250411-2_10RRT60-A_001_BH001_000946,Stanford,dataScaleSize,FOV1,Stanford_Slide6
250411-20_CCPA-250411-20_40RRTN-A_001_BH001_000989,Stanford,dataScaleSize,FOV1,Stanford_Slide23
250411-21_CCPA-250411-21_40RRTN-B_001_BH001_000980,Stanford,dataScaleSize,FOV2,Stanford_Slide23
250411-22_CCPA-250411-22_Slide24_40R3760-A_repeat_001_BH001_001012,Stanford,dataScaleSize,FOV1,Stanford_Slide24
250411-23_CCPA-250411-23_Slide24_40R3760-B-repeat_001_BH001_001011,Stanford,dataScaleSize,FOV1,Stanford_Slide24
250411-3_CCPA-250411-3_10RRT60-B_001_BH001_000947,Stanford,dataScaleSize,FOV2,Stanford_Slide6
250411-4_CCPA-250411-4_10RRTN-A_001_BH001_000957,Stanford,dataScaleSize,FOV1,Stanford_Slide7
250411-5_CCPA-250411-5_10RRTN-B_001_BH001_000961,Stanford,dataScaleSize,FOV2,Stanford_Slide7
250411-6_CCPA-250411-6_10R3760-A_001_BH001_000954,Stanford,dataScaleSize,FOV1,Stanford_Slide8
250411-7_CCPA-250411-7_10R3760-B_001_BH001_000953,Stanford,dataScaleSize,FOV2,Stanford_Slide8
250414-1_CCPA-250414-1_10R4N-A_001_BH001_000959,Stanford,dataScaleSize,FOV1,Stanford_Slide5
250414-2_CCPA-250414-2_20R4N-A_001_BH001_000969,Stanford,dataScaleSize,FOV1,Stanford_Slide13
250414-4_CCPA-250414-4_20RRT60-A_001_BH001_000948,Stanford,dataScaleSize,FOV1,Stanford_Slide14
250414-5_CCPA-250414-5_20RRT60-B_001_BH001_000943,Stanford,dataScaleSize,FOV2,Stanford_Slide14
250414-6_CCPA-250414-6_20RRTN-A_001_BH001_000964,Stanford,dataScaleSize,FOV1,Stanford_Slide15
250416-1_CCPA-250416-1_Slide13_20R4N-B_repeat_001_BH001_001009,Stanford,dataScaleSize,FOV2,Stanford_Slide13
